connection_type,correspondent,date,reformatted_date,from,to,location,full_text,source,index_topic_shapiro,index_person_shapiro,index_shapiro_texts,,,,,
correspondence,"Barclay, Robert",04/24/1676,"24 April, 1676","Barclay, Robert",Princess Elisabeth,London,Y,Shapiro 186-8,,"Barclay, David;",,,,,,
correspondence,"Barclay, Robert",07/21/1676; 07/31/1676,"21/31 July, 1676",Princess Elisabeth,"Barclay, Robert",Herford,Y,Webb 327-8; Hodgkin 256-7; Shapiro 188-9,Aberdeen Prison; ,"Barclay, David; Furly, Benjamin;",,,,,,
correspondence,"Barclay, Robert",09/06/1676,"Sep. 6, 1676","Barclay, Robert",Princess Elisabeth,Edinburgh,Y,Shapiro 189-90,Aberdeen Prison; ,"Barclay, David; ",,,,,,
correspondence,"Barclay, Robert",10/06/1676,"Oct. 6, 1676",Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 190-1; Godfrey 323-4,"Aberdeen Prison; Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Brandenburg, Elector of (Frederick William); Furly, Benjamin;",,,,,,test
correspondence,"Barclay, Robert",10/28/1676,28 October 1676,"Barclay, Robert",Princess Elisabeth,Ury,Y,Shapiro 191-2,"Aberdeen Prison; Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Furly, Benjamin;",,,,,,
correspondence,"Barclay, Robert",12/01/1676; 12/11/1676,1/11 December 1676,Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 192-3,"Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ",,,,,,,
correspondence,"Barclay, Robert",10/24/1676,24 October 1676,"Barclay, Robert",Princess Elisabeth,Aberdeen Prison,Y,Shapiro 193-5; Godfrey 325,imprisonment at Aberdeen; ,"Barclay, Robert, ",,,,,,
correspondence,"Barclay, Robert",02/09/1677; 02/19/1677,9/19 February 1677,Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 196; Godfrey 325,"imprisonment at Aberdeen; good(s), actions, rule for; ","Barclay, Robert,",,,,,,
correspondence,"Barclay, Robert",03/05/1677,5 March 1677,"Barclay, Robert",Princess Elisabeth,Aberdeen Prison,Y,Shapiro 196-99; Godfrey 325-6,"imprisonment at Aberdeen; good(s), actions, rule for; Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Barclay, Robert,",,,,,,
correspondence,"Barclay, Robert",03/01/1677; 03/11/1677,"March 1/11, 1677",Princess Elisabeth,"Barclay, Robert",,Y excerpt,,,,,,,,,
correspondence,"Barclay, Robert",03/16/1677,16 March 1677,"Barclay, Robert",Princess Elisabeth,Aberdeen Prison,Y,Shapiro 199-201; Godfrey 326,imprisonment at Aberdeen;,"Barclay, Robert, ",,,,,,
correspondence,"Barclay, Robert",06/15/1677,15 June 1677,"Barclay, Robert",Princess Elisabeth,London,Y,Shapiro 201-3,imprisonment at Aberdeen; ,"Barclay, Robert, Craven, William, Lord and Earl of; Furly, Benjamin;",,,,,,
